symbol,name,last_price,latest_date
000001.SZ,平安银行,10.24,2026-06-29
000002.SZ,万  科Ａ,3.04,2026-06-29
000006.SZ,深振业Ａ,7.33,2026-06-29
000007.SZ,全新好,12.29,2026-06-29
000008.SZ,神州高铁,2.35,2026-06-29
000009.SZ,中国宝安,6.14,2026-06-29
000011.SZ,深物业A,6.58,2026-06-29
000012.SZ,南  玻Ａ,4.69,2026-06-29
000014.SZ,沙河股份,9.18,2026-06-29
000017.SZ,深中华A,5.56,2026-06-29
000019.SZ,深粮控股,5.8,2026-06-29
000020.SZ,深华发Ａ,10.76,2026-06-29
000025.SZ,特  力Ａ,13.32,2026-06-29
000026.SZ,飞亚达,19.58,2026-06-29
000027.SZ,深圳能源,6.35,2026-06-29
000028.SZ,国药一致,19.4,2026-06-29
000029.SZ,深深房Ａ,22.06,2026-06-29
000030.SZ,富奥股份,3.92,2026-06-29
000031.SZ,大悦城,2.16,2026-06-29
000032.SZ,深桑达Ａ,24.08,2026-06-29
000034.SZ,神州数码,25.81,2026-06-29
000035.SZ,中国天楹,4.88,2026-06-29
000036.SZ,华联控股,4.47,2026-06-29
000037.SZ,深南电A,8.87,2026-06-29
000039.SZ,中集集团,8.19,2026-06-29
000042.SZ,中洲控股,8.21,2026-06-29
000045.SZ,深纺织Ａ,9.95,2026-06-29
000048.SZ,京基智农,21.21,2026-06-29
000049.SZ,德赛电池,22.82,2026-06-29
000050.SZ,深天马Ａ,9.48,2026-06-29
000055.SZ,方大集团,3.33,2026-06-29
000058.SZ,深 赛 格,6.1,2026-06-29
000059.SZ,华锦股份,3.82,2026-06-29
000060.SZ,中金岭南,7.82,2026-06-29
000061.SZ,农 产 品,5.51,2026-06-29
000062.SZ,深圳华强,29.7,2026-06-29
000063.SZ,中兴通讯,35.2,2026-06-29
000065.SZ,北方国际,10.01,2026-06-29
000066.SZ,中国长城,18.99,2026-06-29
000068.SZ,华控赛格,2.81,2026-06-29
000070.SZ,特发信息,20.37,2026-06-29
000088.SZ,盐 田 港,4.08,2026-06-29
000089.SZ,深圳机场,6.14,2026-06-29
000090.SZ,天健集团,3.11,2026-06-29
000096.SZ,广聚能源,7.0,2026-06-29
000099.SZ,中信海直,14.48,2026-06-29
000100.SZ,TCL科技,5.29,2026-06-29
000151.SZ,中成股份,10.8,2026-06-29
000153.SZ,丰原药业,5.2,2026-06-29
000155.SZ,川能动力,11.89,2026-06-29
000156.SZ,华数传媒,6.43,2026-06-29
000157.SZ,中联重科,7.21,2026-06-29
000158.SZ,常山北明,12.73,2026-06-29
000159.SZ,国际实业,5.29,2026-06-29
000166.SZ,申万宏源,4.46,2026-06-29
000301.SZ,东方盛虹,11.3,2026-06-29
000338.SZ,潍柴动力,26.19,2026-06-29
000400.SZ,许继电气,21.59,2026-06-29
000401.SZ,金隅冀东,3.43,2026-06-29
000402.SZ,金 融 街,2.51,2026-06-29
000403.SZ,派林生物,9.17,2026-06-29
000404.SZ,长虹华意,8.06,2026-06-29
000407.SZ,胜利股份,3.69,2026-06-29
000409.SZ,云鼎科技,8.17,2026-06-29
000410.SZ,沈阳机床,4.58,2026-06-29
000411.SZ,英特集团,9.23,2026-06-29
000415.SZ,渤海租赁,4.11,2026-06-29
000417.SZ,合百集团,8.6,2026-06-29
000419.SZ,通程控股,4.59,2026-06-29
000420.SZ,吉林化纤,4.2,2026-06-29
000421.SZ,南京公用,5.03,2026-06-29
000422.SZ,湖北宜化,13.58,2026-06-29
000425.SZ,徐工机械,8.46,2026-06-29
000426.SZ,兴业银锡,33.27,2026-06-29
000428.SZ,华天酒店,3.1,2026-06-29
000429.SZ,粤高速Ａ,13.82,2026-06-29
000430.SZ,张家界,7.44,2026-06-29
000498.SZ,山东路桥,4.82,2026-06-29
000501.SZ,武商集团,6.72,2026-06-29
000503.SZ,国新健康,6.27,2026-06-29
000504.SZ,南华生物,7.41,2026-06-29
000505.SZ,京粮控股,5.09,2026-06-29
000506.SZ,招金黄金,11.91,2026-06-29
