symbol,industry_name,industry_code,updated_at,source
000025.SZ,批发业,F51,2026-03-18T23:30:49.538366,cninfo_industry_change
000009.SZ,电气部件与设备,Z03010301,2026-03-18T23:30:49.548050,cninfo_industry_change
000019.SZ,批发业,F51,2026-03-18T23:30:49.579482,cninfo_industry_change
000004.SZ,软件和信息技术服务业,I65,2026-03-18T23:30:49.586951,cninfo_industry_change
000011.SZ,房地产管理,60102010,2026-03-18T23:30:49.599103,cninfo_industry_change
000006.SZ,房地产业,K70,2026-03-18T23:30:49.605058,cninfo_industry_change
000010.SZ,土木工程建筑业,E48,2026-03-18T23:30:49.651418,cninfo_industry_change
000034.SZ,批发业,F51,2026-03-18T23:30:49.653926,cninfo_industry_change
000020.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:49.667232,cninfo_industry_change
000037.SZ,电力、热力生产和供应业,D44,2026-03-18T23:30:49.677987,cninfo_industry_change
000028.SZ,批发业,F51,2026-03-18T23:30:49.688557,cninfo_industry_change
000016.SZ,白色家电,25201010,2026-03-18T23:30:49.696474,cninfo_industry_change
000007.SZ,房地产业,K70,2026-03-18T23:30:49.705365,cninfo_industry_change
000014.SZ,房地产业,K70,2026-03-18T23:30:49.711430,cninfo_industry_change
000045.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:49.731155,cninfo_industry_change
000036.SZ,房地产服务,60102020,2026-03-18T23:30:49.750992,cninfo_industry_change
000012.SZ,非金属矿物制品业,C30,2026-03-18T23:30:49.753518,cninfo_industry_change
000002.SZ,房地产业,K70,2026-03-18T23:30:49.759025,cninfo_industry_change
000027.SZ,电力、热力生产和供应业,D44,2026-03-18T23:30:49.761163,cninfo_industry_change
000001.SZ,货币金融服务,J66,2026-03-18T23:30:49.740679,cninfo_industry_change
000029.SZ,房地产业,K70,2026-03-18T23:30:49.765904,cninfo_industry_change
000017.SZ,文教、工美、体育和娱乐用品制造业,C24,2026-03-18T23:30:49.771840,cninfo_industry_change
000021.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:49.773225,cninfo_industry_change
000039.SZ,金属制品业,C33,2026-03-18T23:30:49.776941,cninfo_industry_change
000032.SZ,建筑安装业,E49,2026-03-18T23:30:49.778734,cninfo_industry_change
000026.SZ,珠宝与奢侈品,Z04030301,2026-03-18T23:30:49.782241,cninfo_industry_change
000030.SZ,汽车制造业,C36,2026-03-18T23:30:49.784838,cninfo_industry_change
000035.SZ,生态保护和环境治理业,N77,2026-03-18T23:30:49.790346,cninfo_industry_change
000042.SZ,住宅地产开发和管理,Z11010101,2026-03-18T23:30:49.794351,cninfo_industry_change
000048.SZ,生猪养殖,S110702,2026-03-18T23:30:49.797895,cninfo_industry_change
000008.SZ,铁路、船舶、航空航天和其他运输设备制造业,C37,2026-03-18T23:30:49.799002,cninfo_industry_change
000031.SZ,房地产业,K70,2026-03-18T23:30:49.808733,cninfo_industry_change
000049.SZ,电气机械和器材制造业,C38,2026-03-18T23:30:49.824966,cninfo_industry_change
000050.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:49.833852,cninfo_industry_change
000055.SZ,金属制品业,C33,2026-03-18T23:30:49.864282,cninfo_industry_change
000056.SZ,商务服务业,L72,2026-03-18T23:30:49.999933,cninfo_industry_change
000059.SZ,石油、煤炭及其他燃料加工业,C25,2026-03-18T23:30:50.008299,cninfo_industry_change
000058.SZ,商务服务业,L72,2026-03-18T23:30:50.009299,cninfo_industry_change
000062.SZ,批发业,F51,2026-03-18T23:30:50.105201,cninfo_industry_change
000100.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:50.108201,cninfo_industry_change
000060.SZ,铜,15201010,2026-03-18T23:30:50.109716,cninfo_industry_change
000068.SZ,贸易商,20601040,2026-03-18T23:30:50.117343,cninfo_industry_change
000069.SZ,景点,25401010,2026-03-18T23:30:50.130037,cninfo_industry_change
000070.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:50.150450,cninfo_industry_change
000099.SZ,航空运输业,G56,2026-03-18T23:30:50.217236,cninfo_industry_change
000088.SZ,水上运输业,G55,2026-03-18T23:30:50.219211,cninfo_industry_change
000063.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:50.221212,cninfo_industry_change
000153.SZ,医药制造业,C27,2026-03-18T23:30:50.228618,cninfo_industry_change
000066.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:30:50.234523,cninfo_industry_change
000090.SZ,土木工程建筑业,E48,2026-03-18T23:30:50.237135,cninfo_industry_change
000400.SZ,电气机械和器材制造业,C38,2026-03-18T23:30:50.239130,cninfo_industry_change
000151.SZ,批发业,F51,2026-03-18T23:30:50.244786,cninfo_industry_change
000301.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:30:50.253474,cninfo_industry_change
000166.SZ,资本市场服务,J67,2026-03-18T23:30:50.255474,cninfo_industry_change
000065.SZ,物流综合,20701020,2026-03-18T23:30:50.257474,cninfo_industry_change
000078.SZ,批发业,F51,2026-03-18T23:30:50.259624,cninfo_industry_change
000159.SZ,光伏辅材,S630504,2026-03-18T23:30:50.261130,cninfo_industry_change
000338.SZ,汽车制造业,C36,2026-03-18T23:30:50.269131,cninfo_industry_change
