signal_date,symbol,name,industry_name,score,close,market_rank,candidate_rank,ret_1,ret_5,intraday_ret,ma_gap_5,turnover_rate_1,volume_ratio_1_prev,volume_ratio_3_prev,volume_ratio_5_prev,volume_ratio_7_prev,volume_ratio_5,industry_ret_1_mean
2025-11-28,600066.SH,宇通客车,汽车制造业,0.003670181,31.11,,1,0.19616729021072388,0.047413237392902374,0.35524848103523254,-0.1277133971452713,-0.6777356863021851,-0.011898881755769253,-0.22821879386901855,-0.4579628109931946,-0.3001559376716614,-0.38444584608078003,0.7381991147994995
2025-11-28,000875.SZ,电投绿能,电力、热力生产和供应业,0.0025883934,5.6,,2,0.5743569135665894,0.12429437041282654,0.45419570803642273,0.25173336267471313,-0.570180356502533,0.19682595133781433,-0.06040126085281372,-0.3902452290058136,-0.3485354483127594,-0.12707658112049103,0.22603528201580048
2025-11-28,601778.SH,晶科科技,电力、热力生产和供应业,0.0025318626,3.35,,3,0.2312464714050293,-0.21936769783496857,0.11232645809650421,-0.13296279311180115,-0.4923839569091797,-0.4486002027988434,-0.3044221103191376,-0.3805500566959381,-0.33434849977493286,-0.2799715995788574,0.22603528201580048
2025-11-28,601698.SH,中国卫通,电信、广播电视和卫星传输服务,0.002494775,20.75,,4,0.5733528137207031,0.22391891479492188,0.42139753699302673,-0.03340998291969299,-0.6228310465812683,0.4800676107406616,-0.026037268340587616,-0.1680125743150711,-0.008550801314413548,-0.09549138695001602,0.48670631647109985
2025-11-28,601619.SH,嘉泽新能,电力、热力生产和供应业,0.0020841316,4.27,,5,0.24700778722763062,0.1956152766942978,0.15540744364261627,0.04843843728303909,-0.5221694111824036,-0.13672076165676117,-0.35075172781944275,-0.5523489713668823,-0.5937430262565613,-0.46546876430511475,0.22603528201580048
2025-11-28,600011.SH,华能国际,电力、热力生产和供应业,0.0019703514,7.78,,6,-0.7709190845489502,-0.09739437699317932,-0.7916538715362549,-0.13853789865970612,-0.672248125076294,-0.3256407082080841,-0.341237336397171,-0.41599830985069275,-0.3284532427787781,-0.3992249369621277,0.22603528201580048
2025-11-28,000932.SZ,华菱钢铁,黑色金属冶炼和压延加工业,0.0019337442,5.57,,7,-0.17498810589313507,-0.8417120575904846,-0.1296117752790451,-0.64827561378479,-0.5860876441001892,0.04484549164772034,0.03199894726276398,-0.03898299112915993,-0.10124459117650986,0.18477492034435272,0.07164659351110458
2025-11-28,603613.SH,国联股份,互联网和相关服务,0.0018726396,27.69,,8,-0.6024439334869385,0.18169866502285004,-0.6607808470726013,-0.16095846891403198,-0.534645676612854,-0.3635745644569397,-0.1508440375328064,-0.06119228154420853,0.13479194045066833,0.054496750235557556,-0.3323042690753937
2025-11-28,603757.SH,大元泵业,基础件,0.0018112983,36.92,,9,0.5540515780448914,0.5101674199104309,0.6715913414955139,0.34192588925361633,-0.47326481342315674,-0.025698984041810036,-0.20445555448532104,-0.3924107849597931,-0.408599853515625,-0.25089362263679504,0.4400688707828522
2025-11-28,601865.SH,福莱特,非金属矿物制品业,0.0017924837,16.14,,10,0.032230764627456665,-0.3447645902633667,0.22286199033260345,-0.005907413084059954,-0.6171375513076782,-0.3159688711166382,-0.5269015431404114,-0.601598858833313,-0.5011032223701477,-0.7090486288070679,0.4228600561618805
2025-11-28,600795.SH,国电电力,电力、热力生产和供应业,0.0016825895,5.63,,11,0.3645707368850708,0.7893140316009521,0.45103999972343445,1.0758517980575562,-0.6001700758934021,-0.462229460477829,0.19959379732608795,0.4081871509552002,0.5889705419540405,0.5077006816864014,0.22603528201580048
2025-11-28,001979.SZ,招商蛇口,房地产业,0.0016697624,9.26,,12,-1.0939838886260986,-0.7594081163406372,-1.064442753791809,-0.8617579936981201,-0.6053126454353333,-0.38555365800857544,0.1914910078048706,0.08503825962543488,0.0020500144455581903,0.2930607795715332,-0.26235538721084595
2025-11-28,600019.SH,宝钢股份,黑色金属冶炼和压延加工业,0.0016296906,7.25,,13,0.2053145170211792,-0.26254212856292725,0.20654438436031342,0.0975661426782608,-0.6965957283973694,0.14464646577835083,-0.3699129521846771,-0.6658938527107239,-0.5222870111465454,-0.7071075439453125,0.07164659351110458
2025-11-28,002027.SZ,分众传媒,商务服务业,0.0015509024,7.35,,14,-0.0053915660828351974,-0.5332457423210144,-0.07473068684339523,-0.26415616273880005,-0.6560758352279663,-0.46978408098220825,-0.8573607206344604,-0.752560555934906,-0.6009937524795532,-1.0423310995101929,0.6614732146263123
2025-11-28,600637.SH,东方明珠,电信、广播电视和卫星传输服务,0.0014733947,9.72,,15,0.520130455493927,0.5958999395370483,0.5874627232551575,0.028377238661050797,-0.5411767363548279,-0.42975565791130066,-0.8232374787330627,-0.8027148842811584,-0.7812007665634155,-1.021324872970581,0.48670631647109985
2025-11-28,603300.SH,海南华铁,租赁业,0.0014732236,7.44,,16,0.55942702293396,0.14761486649513245,0.5307605862617493,0.07228211313486099,-0.17324018478393555,-0.41325750946998596,-0.3009187877178192,-0.3036630153656006,-0.37939757108688354,-0.2851412296295166,0.8795332908630371
2025-11-28,002182.SZ,宝武镁业,其他有色金属及合金,0.0013399627,13.34,,17,0.5504232048988342,0.2657606601715088,0.6083921790122986,0.1623186618089676,-0.5261845588684082,-0.30596792697906494,-0.2530466914176941,-0.553420901298523,-0.5084861516952515,-0.32912981510162354,1.8001458644866943
2025-11-28,601728.SH,中国电信,电信、广播电视和卫星传输服务,0.0013250692,6.86,,18,0.3909827470779419,-0.05757490545511246,0.4059043824672699,-0.015798868611454964,-0.7208474278450012,0.11939973384141922,0.05778508633375168,-0.0846722424030304,-0.01873626559972763,0.12595242261886597,0.48670631647109985
2025-11-28,000009.SZ,中国宝安,电气部件与设备,0.0012043377,10.12,,19,-0.10775487124919891,-0.06274194270372391,-0.1296117752790451,0.1483263522386551,-0.5778036713600159,-0.7543671131134033,-0.6454350352287292,-0.7951942682266235,-0.8306885361671448,-0.7821024656295776,0.20449113845825195
2025-11-28,002008.SZ,大族激光,专用设备制造业,0.0011892216,36.77,,20,0.5040342211723328,0.6215376257896423,0.5612674355506897,0.2745628356933594,-0.47716885805130005,-0.3647480309009552,-0.6259579062461853,-0.5823491215705872,-0.4611266851425171,-0.6799505352973938,0.5529906153678894
2025-11-28,603363.SH,傲农生物,农副食品加工业,0.0011520663,4.91,,21,-0.031191300600767136,0.00761021813377738,0.28481945395469666,-0.1320219784975052,-0.3300812542438507,-0.4249202609062195,-0.1160508394241333,-0.13010214269161224,-0.17691807448863983,0.05489389970898628,0.612656831741333
2025-11-28,002174.SZ,游族网络,互联网和相关服务,0.0010910213,11.83,,22,-0.07601531594991684,0.40121719241142273,-0.16363433003425598,-0.1390056014060974,-0.39708152413368225,-0.3355777859687805,-0.563404381275177,-0.5761054158210754,-0.5377712845802307,-0.6471788287162781,-0.3323042690753937
2025-11-28,600744.SH,华银电力,电力、热力生产和供应业,0.0010833836,6.09,,23,-0.046050675213336945,0.016040820628404617,-0.06335730850696564,-0.1620578020811081,-0.5650517344474792,-0.24147021770477295,-0.4411264955997467,-0.5918449759483337,-0.5852843523025513,-0.5234174728393555,0.22603528201580048
2025-11-28,002097.SZ,山河智能,专用设备制造业,0.0010582549,12.23,,24,0.38955947756767273,0.46355804800987244,0.40437617897987366,0.09801231324672699,-0.30545634031295776,-0.08264727890491486,-0.2584735155105591,-0.4002593159675598,-0.3276337683200836,-0.4260096251964569,0.5529906153678894
2025-11-28,600690.SH,海尔智家,电气机械和器材制造业,0.0009697811,27.58,,25,-0.12135260552167892,0.10589450597763062,0.10544418543577194,0.19100971519947052,-0.6682625412940979,-0.7925004363059998,-0.566528856754303,-0.6268835067749023,-0.466389536857605,-0.6472569108009338,0.7800391316413879
2025-11-28,002173.SZ,创新医疗,卫生,0.0009408472,21.54,,26,0.42213425040245056,0.49676182866096497,-0.24150820076465607,0.14779910445213318,0.12929458916187286,0.017276378348469734,-0.23236265778541565,-0.20432519912719727,-0.18018607795238495,-0.16470935940742493,0.6381208896636963
2025-11-28,000425.SZ,徐工机械,专用设备制造业,0.00089781755,10.32,,27,0.11163782328367233,0.09078846126794815,0.06650660932064056,-0.13401366770267487,-0.6546372771263123,-0.7328243255615234,-0.7863585948944092,-0.6401094198226929,-0.5769051313400269,-0.8784987926483154,0.5529906153678894
