strategy,base_strategy,hold_period,label_mode,group_key,train_date,use_date,source_run,inference_dir,cash_filter_pass,pick_count
mon_wed_h1,mon_wed,1,market_excess,2025-W47-wed_fri,2025-11-20,2025-11-20,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251120,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251120,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W47-wed_fri,2025-11-20,2025-11-21,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251120,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\inference_runs\mon_wed_h1\20260629_225218_mon_wed_h1_infer_20251120_20251121,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W47-wed_fri,2025-11-20,2025-11-20,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251120,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251120,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W47-wed_fri,2025-11-20,2025-11-21,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251120,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\inference_runs\mon_wed_h2\20260629_225218_mon_wed_h2_infer_20251120_20251121,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-mon_tue,2025-11-24,2025-11-24,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251124,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251124,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-mon_tue,2025-11-24,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251124,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\inference_runs\mon_wed_h1\20260629_225218_mon_wed_h1_infer_20251124_20251125,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-mon_tue,2025-11-24,2025-11-24,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251124,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251124,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-mon_tue,2025-11-24,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h2\train_20251124,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\inference_runs\mon_wed_h2\20260629_225218_mon_wed_h2_infer_20251124_20251125,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-26,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251126,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-27,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\runs\market_excess_h1\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_monwed_h12_nopricecap_20260629\inference_runs\mon_wed_h1\20260629_230032_mon_wed_h1_infer_20251126_20251127,False,0
