symbol,avg_turnover,avg_intraday_range,avg_abs_ret1,n_days,latest_close,is_st_symbol,passes,liq_rank,stability_rank,range_rank,price_rank,pool_score
605133.SH,515791814.1333333,0.061937731750535505,0.034499527635435165,60,35.14,False,True,0.971947194719472,0.9884488448844885,0.9900990099009901,0.7821782178217822,0.9400165016501651
002975.SZ,526627106.9166667,0.05312532253514424,0.03192244505516387,60,73.08,False,True,0.9488448844884488,0.9191419141914191,0.8531353135313532,0.9389438943894389,0.9265676567656767
603786.SH,530229344.0833333,0.049275666036399074,0.03306944852658749,60,70.16,False,True,0.9455445544554455,0.9537953795379538,0.7656765676567657,0.929042904290429,0.916914191419142
600301.SH,521714150.76666665,0.058885831698851906,0.03128319685640428,60,36.59,False,True,0.9587458745874587,0.9026402640264026,0.9554455445544554,0.7953795379537953,0.9143564356435644
600506.SH,513455004.6333333,0.054988630823659373,0.03047783603965851,60,28.03,False,True,0.9752475247524752,0.8745874587458746,0.8976897689768977,0.7062706270627063,0.8896864686468647
603360.SH,557912881.4166666,0.058300060159146426,0.029888231346840037,60,31.93,False,True,0.8960396039603961,0.8432343234323433,0.9471947194719472,0.7508250825082509,0.8641089108910892
603232.SH,589330845.9666667,0.05718638843326105,0.03232237041584033,60,26.67,False,True,0.8465346534653465,0.933993399339934,0.9389438943894389,0.6765676567656765,0.8438943894389439
002779.SZ,630699496.8833333,0.05618824620130884,0.028696357092640123,60,122.24,False,True,0.7722772277227723,0.8052805280528053,0.9174917491749175,0.9785478547854786,0.841914191419142
002490.SZ,500623116.56666666,0.056536693043789964,0.03466179268623236,60,7.78,False,True,1.0,0.9933993399339934,0.9273927392739274,0.17986798679867988,0.8237623762376237
002846.SZ,537476098.6166667,0.05492941085220699,0.028704376242330208,60,19.04,False,True,0.9323432343234324,0.806930693069307,0.8943894389438944,0.5363036303630363,0.8223597359735975
603979.SH,566366873.3,0.044428632351590065,0.02736877086984733,60,62.33,False,True,0.8762376237623762,0.7557755775577558,0.6204620462046204,0.9075907590759076,0.820049504950495
603663.SH,522732632.85,0.04638574139642547,0.025728414004296613,60,32.1,False,True,0.9570957095709571,0.6848184818481848,0.6633663366336634,0.7533003300330033,0.8178217821782179
001301.SZ,774086185.6833333,0.06278968229015663,0.03422805397728355,60,92.37,False,True,0.5957095709570958,0.976897689768977,0.995049504950495,0.9620462046204621,0.8051155115511551
603767.SH,617810420.5666667,0.055605000649251085,0.03307374714590485,60,22.98,False,True,0.7887788778877888,0.9554455445544554,0.905940594059406,0.6155115511551155,0.8050330033003301
603367.SH,602503114.3,0.05682480880136689,0.031480150227912035,60,19.01,False,True,0.8217821782178217,0.9075907590759076,0.9356435643564357,0.5346534653465347,0.7985973597359736
002636.SZ,599871673.0166667,0.056496402607357575,0.03458151212621199,60,15.08,False,True,0.8234323432343235,0.9900990099009901,0.9257425742574258,0.44471947194719474,0.7963696369636963
603859.SH,653730725.3333334,0.05014098842188515,0.031226316045461677,60,39.48,False,True,0.7392739273927392,0.8993399339933993,0.7821782178217822,0.8201320132013201,0.7938943894389439
603129.SH,507595599.1,0.041394000378451465,0.02033413586977149,60,253.0,False,True,0.9801980198019802,0.38613861386138615,0.5082508250825083,0.9933993399339934,0.7932343234323432
002897.SZ,547173313.8666667,0.04598253245733245,0.023130479893826494,60,46.7,False,True,0.9092409240924092,0.5643564356435643,0.6551155115511551,0.8597359735973598,0.7922442244224421
603026.SH,795691468.5666667,0.060013497855309995,0.033944335822890886,60,87.26,False,True,0.5775577557755776,0.9735973597359736,0.9702970297029703,0.9570957095709571,0.7915841584158416
600933.SH,510789110.51666665,0.04869897942371881,0.024606556777709714,60,19.37,False,True,0.976897689768977,0.641914191419142,0.7475247524752475,0.5420792079207921,0.7885313531353136
600513.SH,599297327.7833333,0.05613805647091133,0.028903509292562617,60,20.03,False,True,0.8267326732673267,0.8151815181518152,0.9141914191419142,0.5544554455445545,0.7830858085808581
002158.SZ,667287554.0333333,0.0604840714237198,0.03237974991039898,60,22.46,False,True,0.7260726072607261,0.9389438943894389,0.9785478547854786,0.6047854785478548,0.7822607260726073
